ClePrimaire;dateProd;codeINSEE;QuantiteProd;typeProd
;2014-12;75;4192;nucléaire
;2015-01;75;4103;nucléaire
;2015-02;75;3351;nucléaire
;2015-03;75;3477;nucléaire
;2015-04;75;3195;nucléaire
;2015-05;75;2081;nucléaire
;2015-06;75;2024;nucléaire
;2015-07;75;2414;nucléaire
;2015-08;75;2968;nucléaire
;2015-09;75;3519;nucléaire
;2015-10;75;4320;nucléaire
;2015-11;75;4487;nucléaire
;2015-12;75;4452;nucléaire
;2016-01;75;4696;nucléaire
;2016-02;75;3709;nucléaire
;2016-03;75;3667;nucléaire
;2016-04;75;2972;nucléaire
;2016-05;75;3205;nucléaire
;2016-06;75;3279;nucléaire
;2016-07;75;3411;nucléaire
;2016-08;75;3303;nucléaire
;2016-09;75;2737;nucléaire
;2016-10;75;3710;nucléaire
;2016-11;75;3645;nucléaire
;2016-12;75;3867;nucléaire
;2017-01;75;3891;nucléaire
;2017-02;75;3092;nucléaire
;2017-03;75;4139;nucléaire
;2017-04;75;4023;nucléaire
;2017-05;75;3783;nucléaire
;2017-06;75;2571;nucléaire
;2017-07;75;2952;nucléaire
;2017-08;75;2906;nucléaire
;2017-09;75;3532;nucléaire
;2017-10;75;4642;nucléaire
;2017-11;75;4756;nucléaire
;2017-12;75;4849;nucléaire
;2018-01;75;4761;nucléaire
;2018-02;75;4338;nucléaire
;2018-03;75;3858;nucléaire
;2018-04;75;3028;nucléaire
;2018-05;75;3090;nucléaire
;2018-06;75;2866;nucléaire
;2018-07;75;3740;nucléaire
;2018-08;75;3637;nucléaire
;2018-09;75;3751;nucléaire
;2018-10;75;3394;nucléaire
;2018-11;75;4562;nucléaire
;2018-12;75;4745;nucléaire
;2019-01;75;4814;nucléaire
;2019-02;75;4345;nucléaire
;2019-03;75;4167;nucléaire
;2019-04;75;3713;nucléaire
;2019-05;75;4056;nucléaire
;2019-06;75;3896;nucléaire
;2019-07;75;3728;nucléaire
;2019-08;75;2857;nucléaire
;2019-09;75;3563;nucléaire
;2019-10;75;4134;nucléaire
;2019-11;75;4077;nucléaire
;2019-12;75;3965;nucléaire
;2014-01;76;1795;nucléaire
;2014-02;76;1642;nucléaire
;2014-03;76;1827;nucléaire
;2014-04;76;1561;nucléaire
;2014-05;76;859;nucléaire
;2014-06;76;817;nucléaire
;2014-07;76;927;nucléaire
;2014-08;76;1104;nucléaire
;2014-09;76;1434;nucléaire
;2014-10;76;777;nucléaire
;2014-11;76;800;nucléaire
;2014-12;76;1377;nucléaire
;2015-01;76;1835;nucléaire
;2015-02;76;1708;nucléaire
;2015-03;76;1815;nucléaire
;2015-04;76;1645;nucléaire
;2015-05;76;1644;nucléaire
;2015-06;76;1703;nucléaire
;2015-07;76;1630;nucléaire
;2015-08;76;724;nucléaire
;2015-09;76;798;nucléaire
;2015-10;76;1838;nucléaire
;2015-11;76;1666;nucléaire
;2015-12;76;1736;nucléaire
;2016-01;76;1757;nucléaire
;2016-02;76;1627;nucléaire
;2016-03;76;1794;nucléaire
;2016-04;76;1693;nucléaire
;2016-05;76;958;nucléaire
;2016-06;76;1289;nucléaire
;2016-07;76;1703;nucléaire
;2016-08;76;1744;nucléaire
;2016-09;76;1731;nucléaire
;2016-10;76;1858;nucléaire
;2016-11;76;1771;nucléaire
;2016-12;76;1873;nucléaire
;2017-01;76;1904;nucléaire
;2017-02;76;1490;nucléaire
;2017-03;76;1210;nucléaire
;2017-04;76;1271;nucléaire
;2017-05;76;1815;nucléaire
